Client,Recency,Frequency,Monetary,RFM_Score,Cluster_KMeans
998,302,2,1907.9,212,0
996,165,2,1908.4,312,2
995,43,2,1909.05,422,2
994,100,2,1912.0,432,2
993,614,2,1912.6,122,0
992,180,3,1913.3,342,2
990,-5,4,1915.4,442,1
989,312,2,1915.45,222,0
988,63,3,1916.0,432,2
986,193,2,1917.0,212,2
985,25,4,1918.0,442,1
983,52,2,1918.15,422,2
984,75,2,1918.15,432,2
980,354,2,1923.75,122,0
979,109,2,1925.0,322,2
978,31,3,1925.45,432,2
977,287,2,1926.0,212,2
976,87,4,1926.85,442,1
975,74,2,1934.0,432,2
972,144,2,1935.0,332,2
973,222,2,1935.0,212,2
971,192,2,1935.1,212,2
970,223,3,1936.6,232,2
968,109,3,1943.0,342,2
967,40,2,1944.0,422,2
966,301,2,1945.0,212,0
965,115,2,1946.0,322,2
964,2,2,1946.05,432,2
962,190,2,1948.0,212,2
959,110,2,1949.0,322,2
958,461,3,1950.0,132,0
957,107,2,1951.3,432,2
956,20,2,1952.0,432,2
955,210,2,1953.65,212,2
954,26,2,1954.0,432,2
952,235,2,1955.0,212,2
953,184,2,1955.0,312,2
951,287,2,1958.95,212,2
950,363,3,1961.3,132,0
949,91,3,1965.42,432,2
941,41,4,1971.15,442,1
940,712,2,1973.0,122,0
939,191,2,1973.15,212,2
938,26,3,1974.0,432,2
937,156,2,1975.0,332,2
935,88,2,1976.0,422,2
934,242,3,1976.25,242,2
933,452,3,1978.8,132,0
928,654,2,1986.0,122,0
927,405,2,1986.0,122,0
924,120,2,1990.35,322,2
923,324,2,1991.55,122,0
921,133,2,1995.0,332,2
922,203,2,1995.0,212,2
918,223,2,1996.0,212,2
916,174,2,1997.25,312,2
915,146,2,1997.95,332,2
903,8,2,1998.0,432,2
911,215,2,1998.0,212,2
899,166,2,1998.15,313,2
898,18,2,2001.25,433,2
897,106,2,2001.65,433,2
895,293,2,2003.0,213,2
894,110,2,2005.0,323,2
892,137,2,2007.8,333,2
891,339,3,2013.1,133,0
890,13,2,2017.0,433,2
889,566,3,2020.3,133,0
888,136,2,2023.75,333,2
886,459,3,2024.45,133,0
884,101,2,2027.0,423,2
885,108,2,2027.0,423,2
883,301,4,2028.15,243,1
882,58,2,2030.9,423,2
880,225,2,2035.3,213,2
879,201,3,2036.0,243,2
877,155,2,2041.0,333,2
876,253,2,2042.35,213,2
875,381,2,2046.05,123,0
873,492,2,2047.0,113,0
870,33,2,2048.0,423,2
865,108,2,2051.0,423,2
862,18,2,2054.0,433,2
863,17,2,2054.0,433,2
864,-2,2,2054.0,433,2
861,280,4,2056.0,243,1
860,154,2,2057.6,333,2
859,132,2,2059.15,333,2
857,377,2,2061.7,123,0
856,273,2,2064.0,213,2
855,148,2,2064.05,333,2
854,593,2,2066.0,123,0
853,48,3,2066.87,433,2
852,264,3,2067.1,243,2
851,290,2,2068.0,213,2
850,234,2,2068.9,213,2
849,156,2,2069.0,333,2
848,179,2,2069.6,313,2
846,173,2,2074.0,313,2
845,241,2,2074.0,213,2
842,171,2,2080.45,313,2
841,160,3,2081.0,333,2
840,279,2,2083.0,213,2
837,170,2,2087.0,313,2
836,629,2,2088.0,123,0
834,179,2,2088.15,313,2
831,196,3,2096.0,243,2
826,328,2,2097.0,123,0
823,-3,2,2098.0,433,2
825,11,2,2098.0,433,2
822,101,2,2100.45,433,2
820,102,2,2105.05,423,2
816,524,2,2113.5,113,0
815,176,2,2113.5,313,2
812,201,2,2119.95,213,2
811,16,3,2121.0,433,2
810,100,2,2125.1,433,2
809,19,2,2127.9,433,2
808,141,2,2130.9,333,2
807,397,3,2134.8,133,0
806,285,2,2135.0,213,2
804,149,2,2136.5,333,2
802,132,2,2138.3,333,2
801,-9,3,2143.0,433,2
800,685,2,2144.0,123,0
799,369,3,2145.0,133,0
797,173,2,2146.0,313,2
798,119,2,2146.0,323,2
796,287,2,2146.0,213,2
795,208,2,2146.05,213,2
794,180,2,2147.0,313,2
791,278,2,2149.0,213,2
789,493,4,2152.0,143,0
788,101,2,2152.45,433,2
781,283,2,2162.15,213,2
768,286,2,2169.65,213,2
764,97,2,2179.38,433,2
763,51,2,2182.0,423,2
762,109,2,2183.0,323,2
761,601,2,2184.0,123,0
760,124,2,2188.15,323,2
759,146,2,2188.15,333,2
757,227,2,2195.0,213,2
756,6,2,2196.0,433,2
754,182,2,2196.0,313,2
755,196,2,2196.0,213,2
750,138,3,2205.0,343,2
749,285,2,2205.0,213,2
747,274,3,2205.15,243,2
746,107,3,2205.87,443,2
745,347,3,2206.15,133,0
743,396,2,2208.6,123,0
741,3,2,2213.9,433,2
740,224,2,2214.8,213,2
739,495,2,2216.0,113,0
736,135,2,2225.0,333,2
734,336,4,2228.0,143,1
733,144,2,2228.3,333,2
732,296,3,2228.65,243,2
730,236,2,2235.0,213,2
729,270,2,2237.0,213,2
728,153,2,2239.45,333,2
727,87,2,2242.0,423,2
726,62,2,2244.0,423,2
724,356,2,2246.0,123,0
723,199,3,2246.0,243,2
719,474,4,2252.3,143,0
718,176,2,2253.35,313,2
717,197,2,2254.0,213,2
716,128,3,2256.0,343,2
715,217,2,2256.45,213,2
713,221,3,2258.75,233,2
712,119,2,2264.85,323,2
711,244,2,2265.05,213,2
709,89,2,2266.0,423,2
708,158,2,2267.55,333,2
707,110,3,2270.0,343,2
706,640,2,2271.6,123,0
705,116,2,2272.3,323,2
704,190,2,2274.0,213,2
703,21,3,2276.65,433,2
701,46,2,2284.0,423,2
700,326,2,2289.45,123,0
699,219,4,2292.8,243,1
698,258,3,2294.0,243,2
697,363,2,2297.0,123,0
695,247,2,2299.45,213,2
694,236,2,2300.0,213,2
693,286,2,2303.0,213,2
692,101,2,2303.95,433,2
690,327,3,2305.3,133,0
689,135,3,2306.15,343,2
688,237,3,2307.95,243,2
687,185,4,2311.0,343,1
686,513,5,2316.0,143,1
685,30,2,2322.8,423,2
684,197,2,2323.9,213,2
681,151,2,2327.15,333,2
680,575,2,2335.0,113,0
678,108,2,2341.0,433,2
677,38,2,2344.1,423,2
676,296,2,2345.0,213,2
675,119,2,2346.0,323,2
674,191,2,2348.0,213,2
673,151,3,2352.6,343,2
672,225,4,2353.0,243,1
671,359,2,2354.0,123,0
670,36,2,2358.2,423,2
667,147,2,2367.15,333,2
665,158,2,2375.1,333,2
664,316,2,2376.0,223,0
663,167,2,2379.8,313,2
661,136,2,2380.0,333,2
660,83,2,2383.1,433,2
659,287,2,2384.25,213,2
658,628,2,2385.0,123,0
656,178,2,2387.4,313,2
653,100,2,2395.4,433,2
652,127,3,2396.0,343,2
651,306,3,2396.0,243,2
648,216,2,2397.0,213,2
649,233,2,2397.0,213,2
650,108,2,2397.0,433,2
644,181,3,2405.6,343,2
641,11,3,2414.05,433,2
640,331,2,2415.0,123,0
639,465,2,2415.0,123,0
637,273,2,2416.0,213,2
636,127,2,2418.05,323,2
635,235,2,2418.05,213,2
634,34,2,2418.7,423,2
633,177,2,2424.75,313,2
632,287,2,2427.0,213,2
631,226,2,2427.3,213,2
627,179,2,2435.0,313,2
626,289,3,2436.25,243,2
625,318,2,2438.0,223,0
624,290,3,2443.0,243,2
623,309,5,2443.55,243,1
622,177,2,2444.0,313,2
620,210,2,2448.0,213,2
619,82,3,2448.45,433,2
618,-7,5,2450.15,443,1
617,60,3,2452.0,433,2
